loc,v(g),ev(g),i,b,lOBlank,locCodeAndComment,branchCount
0.0647515893571932,0.0576923076923076,0.0,0.1226828705484189,0.0377643504531721,0.0681818181818181,0.0,0.06
0.0529785731104308,0.0961538461538461,0.0625,0.1318030481171774,0.054929964295523,0.0681818181818181,0.0,0.1
0.0500353190487402,0.0384615384615384,0.0,0.0839495862955594,0.0240318593792913,0.0909090909090909,0.0,0.04
0.029432540616906,0.2307692307692307,0.375,0.0,0.0,0.0,0.0,0.24
0.214857546503414,0.6923076923076923,0.0,1.0,0.3192804174677279,0.0227272727272727,0.125,0.72
0.0794678596656462,0.0384615384615384,0.0,0.1131231663498409,0.0377643504531721,0.0454545454545454,0.0,0.04
0.0235460324935248,0.0192307692307692,0.0,0.0766973969035346,0.0102993683054105,0.0454545454545454,0.0,0.0199999999999999
0.058865081233812,0.0576923076923076,0.0,0.1519113914314279,0.0274649821477615,0.0909090909090909,0.0,0.06
0.2384035789969388,0.1923076923076923,0.25,0.0,0.0,0.0,0.0,0.1999999999999999
0.0382623028019778,0.0192307692307692,0.0,0.1709209181711292,0.0205987366108211,0.0681818181818181,0.0,0.0199999999999999
0.0323757946785966,0.1153846153846154,0.1875,0.0726317755777026,0.0377643504531721,0.0227272727272727,0.0,0.12
0.0912408759124087,0.25,0.40625,0.206467634357796,0.0823949464432846,0.0454545454545454,0.125,0.26
0.044148810925359,0.0192307692307692,0.0,0.1201555924269558,0.0205987366108211,0.0909090909090909,0.0,0.0199999999999999
0.0235460324935248,0.0384615384615384,0.0,0.0804883140857294,0.0137324910738807,0.0227272727272727,0.0,0.04
0.2207440546267952,0.1153846153846154,0.15625,0.2033360071203308,0.1201592968964567,0.1136363636363636,0.25,0.12
0.0382623028019778,0.0192307692307692,0.0,0.1411429890008456,0.0137324910738807,0.0909090909090909,0.0,0.0199999999999999
0.0382623028019778,0.0,0.0,0.1661960069005676,0.0308981049162317,0.0909090909090909,0.0,0.0
0.3031551683541321,0.25,0.1875,0.5778676365554282,0.2334523482559731,0.3863636363636363,0.0,0.26
0.0,0.0,0.0,0.060984319887481,0.0068662455369403,0.0,0.0,0.0
0.0706380974805744,0.0192307692307692,0.0,0.2137747645785482,0.0583630870639932,0.0681818181818181,0.0,0.0199999999999999
0.0088297621850718,0.0192307692307692,0.0,0.0791147933675429,0.0034331227684701,0.0,0.0,0.0199999999999999
