loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
0.06475158935719327,0.057692307692307696,0.0,0.09090909090909091,0.05357771167194445,0.036887088426490126,0.14,0.1601538898958664,0.12268287054841899,0.007487368539455481,0.03776435045317212,0.007487158339798496,0.07206918641896214,0.06818181818181818,0.06818181818181818,0.0,0.46875,0.11504424778761062,0.05830741892492213,0.05083780706035462,0.060000000000000005
0.05297857311043086,0.09615384615384616,0.0625,0.09090909090909091,0.07516872980839968,0.054303923497124484,0.1,0.21946191847034122,0.1318030481171774,0.015104883650711843,0.05492996429552308,0.015104576060198724,0.0680653427290198,0.0,0.06818181818181818,0.0,0.5,0.1504424778761062,0.07219013771657026,0.08540751586139576,0.1
0.05003531904874026,0.038461538461538464,0.0,0.030303030303030304,0.039183699580974306,0.025728998993744832,0.14,0.16326367416568904,0.08394958629555944,0.005322793321374707,0.02403185937929135,0.005322647785968808,0.06005765534913512,0.0,0.09090909090909091,0.0,0.4375,0.08849557522123894,0.03887161261661476,0.04270375793069788,0.04
0.029432540616906033,0.23076923076923078,0.375,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.21485754650341404,0.6923076923076923,0.0,1.0,0.34865495953683256,0.31832220815051027,0.24,0.09262714575114603,1.0,0.03734157379499691,0.31928041746772795,0.03734150595579524,0.2922805893657909,0.0,0.022727272727272728,0.125,0.21875,0.6725663716814159,0.35400932918702727,0.36806572311696745,0.72
0.07946785966564629,0.038461538461538464,0.0,0.06060606060606061,0.055177046348718915,0.03714362255693608,0.12,0.17492536517752397,0.1131231663498409,0.008232999604622572,0.03776435045317212,0.008233031095983475,0.06005765534913512,0.1590909090909091,0.045454545454545456,0.0,0.4375,0.10619469026548672,0.05830741892492213,0.05490483162518299,0.04
0.023546032493524827,0.019230769230769232,0.0,0.030303030303030304,0.017592681444519073,0.009592544092032704,0.34,0.06663823435334247,0.07669739690353468,0.0008100032518881732,0.010299368305410577,0.0008099870615591058,0.03203074951953873,0.0,0.045454545454545456,0.0,0.25,0.05309734513274336,0.018047534429142566,0.018301610541727662,0.019999999999999997
0.05886508123381207,0.057692307692307696,0.0,0.09090909090909091,0.03998336691936153,0.026915469347057377,0.24,0.09440416533390183,0.1519113914314279,0.0032197214244075152,0.02746498214776154,0.0032196405477016316,0.08007687379884681,0.0,0.09090909090909091,0.0,0.40625,0.11504424778761062,0.04581297201243882,0.03456970880104114,0.060000000000000005
0.23840357899693887,0.19230769230769235,0.25,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998
0.03826230280197784,0.019230769230769232,0.0,0.030303030303030304,0.03358602821226369,0.0217584461801014,0.32,0.06785993531648708,0.1709209181711292,0.001870065211081697,0.020598736610821154,0.0018697588150961449,0.044042280589365754,0.022727272727272728,0.06818181818181818,0.0,0.28125,0.12389380530973451,0.03193025322079069,0.038636733365869515,0.019999999999999997
0.03237579467859664,0.1153846153846154,0.1875,0.0,0.06157438505581676,0.03745970925337842,0.08,0.27488271670753767,0.07263177557770262,0.013047681369019614,0.03776435045317212,0.013047696308603432,0.05605381165919278,0.0,0.022727272727272728,0.0,0.34375,0.07079646017699115,0.056919147045757325,0.07320644216691065,0.12000000000000001
0.0912408759124087,0.25000000000000006,0.40625,0.36363636363636365,0.11515209672776122,0.08245739907191435,0.1,0.21279809503500693,0.20646763435779605,0.02223158098474811,0.08239494644328461,0.02223170791597328,0.11611146700832789,0.022727272727272728,0.045454545454545456,0.125,0.40625,0.16814159292035397,0.12216792536650352,0.11387668781519435,0.26
0.04414881092535905,0.019230769230769232,0.0,0.030303030303030304,0.03438569555065092,0.021630179114878422,0.24,0.09595905746881316,0.12015559242695584,0.0026289607503778454,0.020598736610821154,0.0026289766303182723,0.03603459320948107,0.022727272727272728,0.09090909090909091,0.0,0.3125,0.09734513274336283,0.033318525099955504,0.038636733365869515,0.019999999999999997
0.023546032493524827,0.038461538461538464,0.0,0.06060606060606061,0.02319035281322969,0.014354458888435758,0.24,0.09507054767743527,0.08048831408572944,0.0017282820046256757,0.01373249107388077,0.0017281851453107425,0.03603459320948107,0.0,0.022727272727272728,0.0,0.34375,0.07964601769911504,0.02082407818747219,0.028469171953798587,0.04
0.22074405462679525,0.1153846153846154,0.15625,0.09090909090909091,0.15193679429357382,0.12086536841461978,0.08,0.3167537406262212,0.20333600712033081,0.04850903610275097,0.12015929689645673,0.048508999490056055,0.18818065342729004,0.5,0.11363636363636365,0.25,0.625,0.23893805309734512,0.15687472234562383,0.15658044574589222,0.12000000000000001
0.03826230280197784,0.019230769230769232,0.0,0.030303030303030304,0.026389022166778613,0.015448164667792396,0.38,0.05830845505917466,0.14114298900084568,0.001141341112331834,0.01373249107388077,0.001141292657655273,0.044042280589365754,0.0,0.09090909090909091,0.0,0.21875,0.08849557522123894,0.024988893824966628,0.030502684236212774,0.019999999999999997
0.03826230280197784,0.0,0.0,0.0,0.05037904231839553,0.03118263974902894,0.22,0.0999573515300137,0.16619600690056763,0.0039495737287333615,0.030898104916231732,0.003949557255037845,0.044042280589365754,0.0,0.09090909090909091,0.0,0.25,0.10619469026548672,0.049977787649933256,0.05490483162518299,0.0
0.30315516835413214,0.25000000000000006,0.1875,0.2424242424242424,0.2534945462687521,0.23390530060898418,0.1,0.21568575185698513,0.5778676365554282,0.06392390229407538,0.2334523482559731,0.06392399322785802,0.3323190262652143,0.11363636363636365,0.38636363636363635,0.0,0.59375,0.6017699115044248,0.24711239449133668,0.28265820725557167,0.26
0.0,0.0,0.0,0.0,0.01199501007580846,0.006357236420113841,0.4,0.05553186196111872,0.06098431988748101,0.00044730127643218795,0.006866245536940385,0.0004473495877235462,0.008007687379884682,0.0,0.0,0.0,0.3125,0.02654867256637168,0.016659262549977752,0.006100536847242554,0.0
0.07063809748057448,0.019230769230769232,0.0,0.030303030303030304,0.0807664011771103,0.056758176361167714,0.16,0.1414951842769305,0.21377476457854827,0.010173722719205826,0.05836308706399328,0.01017357674597232,0.09208840486867384,0.0,0.06818181818181818,0.0,0.34375,0.16814159292035397,0.07913149711239433,0.08947454042622413,0.019999999999999997
0.00882976218507181,0.019230769230769232,0.0,0.0,0.010395675399033999,0.004946298702661085,0.66,0.033319117176671235,0.07911479336754293,0.000208814734891919,0.0034331227684701927,0.00020887918492928229,0.020019218449711704,0.0,0.0,0.0,0.1875,0.035398230088495575,0.012494446912483314,0.00813404912965674,0.019999999999999997
0.2590063574287731,0.21153846153846156,0.1875,0.21212121212121213,0.1775261491219652,0.1370957331319416,0.08,0.27454952553577094,0.2660234926983631,0.047698662154744983,0.1373249107388077,0.047698722318517885,0.2802690582959639,0.2727272727272727,0.11363636363636365,0.0,0.46875,0.23893805309734512,0.1846401599289201,0.18098259313486245,0.22
0.24429008712032008,0.057692307692307696,0.0,0.030303030303030304,0.3246649393852157,0.28594393611493857,0.08,0.3005384369335745,0.5069390266682768,0.10888859999376352,0.28494918978302597,0.10888871910363486,0.18017296604740535,0.4545454545454546,0.4090909090909091,0.0,0.625,0.45132743362831856,0.3720568636161698,0.2806246949731575,0.060000000000000005
0.03237579467859664,0.038461538461538464,0.0,0.030303030303030304,0.027988356843553074,0.016714801936869302,0.22,0.09718075843195777,0.09164130231740389,0.0020582337839331294,0.017165613842350963,0.002058330301490636,0.044042280589365754,0.0,0.022727272727272728,0.0,0.3125,0.07079646017699115,0.029153709462461066,0.028469171953798587,0.04
0.07063809748057448,0.1153846153846154,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
0.005886508123381207,0.0,0.0,0.0,0.010395675399033999,0.00471954085521332,1.0,0.016659558588335618,0.1509224565143336,9.962055235928923e-05,0.0034331227684701927,9.950772282047754e-05,0.016015374759769364,0.0,0.0,0.0,0.09375,0.05309734513274336,0.00971790315415369,0.012201073694485108,0.0
0.21485754650341404,0.13461538461538464,0.0,0.0,0.22710552410197352,0.13294423213700146,0.04,0.4548059494615624,0.15575724944235014,0.07661544139720222,0.13389178797033752,0.0766154344821654,0.2362267777065981,0.0,0.36363636363636365,0.0,0.21875,0.08849557522123894,0.23184140382052373,0.23792093704245962,0.13999999999999999
