loc,v_g,ev_g,i,b,lOBlank,locCodeAndComment,branchCount,fuzzy_risk_score,y_true,prediction
0.073581351542265,0.1346153846153846,0.21875,0.1148263320403921,0.0686624553694038,0.0681818181818181,0.0,0.1399999999999999,0.49967257014857624,0,0
0.8241111372733689,0.6923076923076923,0.3125,0.1951498236399392,0.446305959901125,0.7727272727272727,0.0,0.7,0.5300697820719033,0,1
0.1030138921591711,0.0769230769230769,0.0,0.1738327820936846,0.0652293326009336,0.1818181818181818,0.125,0.08,0.5036461140308143,0,1
0.0323757946785966,0.0192307692307692,0.0,0.1423516872328498,0.0205987366108211,0.0681818181818181,0.0,0.0199999999999999,0.4618047038536186,0,0
0.0323757946785966,0.0192307692307692,0.0,0.0759831661300776,0.0205987366108211,0.0681818181818181,0.0,0.0199999999999999,0.6249024668315811,0,1
0.0529785731104308,0.0576923076923076,0.0,0.0864219235882951,0.0274649821477615,0.0681818181818181,0.0,0.06,0.5100065399549885,0,1
0.1559924652696019,0.0576923076923076,0.0,0.4203522805937993,0.2231529799505625,0.2045454545454545,0.0,0.06,0.5009075956268138,0,1
0.370850011773016,0.5192307692307693,0.71875,0.4459547067807958,0.3295797857731384,0.4090909090909091,0.125,0.54,0.5549479448948614,1,1
0.1971980221332704,0.3076923076923077,0.375,0.261957871372531,0.1235924196649269,0.3409090909090909,0.0,0.32,0.5458304433690925,1,1
0.0117730162467624,0.0,0.0,0.1717450306020411,0.0102993683054105,0.0227272727272727,0.0,0.0,0.3036645714959367,0,0
0.0235460324935248,0.0192307692307692,0.0,0.0697199116551472,0.0102993683054105,0.0454545454545454,0.0,0.0199999999999999,0.38422747521777667,0,0
0.1795384977631268,0.1538461538461538,0.1875,0.1730636104915001,0.1132930513595163,0.1136363636363636,0.0,0.16,0.5070281904477378,1,1
0.0529785731104308,0.0576923076923076,0.09375,0.0841693496104692,0.0343312276847019,0.0681818181818181,0.0,0.06,0.4974149896175394,0,0
0.0706380974805744,0.1538461538461538,0.0625,0.1275726043051629,0.0789618236748144,0.0909090909090909,0.125,0.16,0.4992867603999281,0,0
0.1236166705910053,0.1346153846153846,0.0,0.0932345863505002,0.0480637187585827,0.0227272727272727,0.0,0.1399999999999999,0.5041022079509463,0,1
0.2619496114904637,0.3653846153846154,0.46875,0.4851824584922025,0.2609173304037346,0.2272727272727273,0.0,0.38,0.5549479448948614,1,1
0.0912408759124087,0.0961538461538461,0.0,0.0,0.0,0.0,0.0,0.1,0.5030767422017828,1,1
0.0529785731104308,0.2115384615384615,0.25,0.0,0.0,0.0,0.0,0.22,0.3281518527231453,0,0
0.1177301624676241,0.0576923076923076,0.0,0.1883371608777341,0.0686624553694038,0.3636363636363636,0.0,0.06,0.5023984065063848,1,1
0.0,0.0,0.0,0.0731811838649772,0.0068662455369403,0.0,0.0,0.0,0.32923829672308264,0,0
0.0058865081233812,0.0,0.0,0.0696649708264197,0.0034331227684701,0.0227272727272727,0.0,0.0,0.3309380196797676,0,0
0.0029432540616906,0.0,0.0,0.0425791422637817,0.0034331227684701,0.0227272727272727,0.0,0.0,0.3309380196797676,0,0
0.0264892865552154,0.0192307692307692,0.0,0.0984539650796089,0.0068662455369403,0.0227272727272727,0.0,0.0199999999999999,0.30789112894937876,0,0
0.3973392983282314,0.1923076923076923,0.3125,0.4127704462294097,0.2265861027190327,0.7272727272727273,0.25,0.1999999999999999,0.551411493746902,0,1
0.0235460324935248,0.0,0.0,0.1174085509905828,0.0205987366108211,0.0227272727272727,0.0,0.0,0.3051240058016432,0,0
0.0559218271721214,0.1153846153846154,0.09375,0.1116947048029269,0.0343312276847019,0.0909090909090909,0.0,0.12,0.49805939947219935,0,0
0.2501765952437013,0.0,0.0,0.9374004197479288,0.3055479263938471,0.4090909090909091,0.75,0.0,0.5019912629857829,0,1
0.1206734165293147,0.173076923076923,0.1875,0.0,0.0,0.0,0.0,0.18,0.5261265382127753,0,1
0.3767365198963972,0.2884615384615385,0.28125,0.0,0.0,0.0,0.0,0.3,0.5414734614303316,1,1
0.014716270308453,0.0192307692307692,0.0,0.1153757403276667,0.0034331227684701,0.0,0.0,0.0199999999999999,0.30644091584650957,0,0
0.1501059571462207,0.0576923076923076,0.0,0.0,0.0,0.0,0.0,0.06,0.5013679987898607,0,1
0.4208853308217563,0.2307692307692307,0.125,0.5324315711978184,0.4188409777533635,0.8181818181818182,0.0,0.24,0.5459729945743367,0,1
0.0559218271721214,0.1153846153846154,0.1875,0.1554276044699853,0.0377643504531721,0.0909090909090909,0.0,0.12,0.49805939947219935,0,0
0.1501059571462207,0.1153846153846154,0.15625,0.2165767468436487,0.0995605602856355,0.1136363636363636,0.0,0.12,0.5145467283672225,0,1
0.1589357193312925,0.1153846153846154,0.0,0.4554594701506465,0.0789618236748144,0.4318181818181818,0.125,0.12,0.5007295639309449,0,1
0.0824111137273369,0.0384615384615384,0.0,0.1625149713758277,0.0480637187585827,0.0454545454545454,0.0,0.04,0.5008617187420082,0,1
0.0824111137273369,0.1923076923076923,0.25,0.1918533739162916,0.0686624553694038,0.1136363636363636,0.0,0.1999999999999999,0.5020447957589504,0,1
0.0206027784318342,0.0192307692307692,0.0,0.0673025151911389,0.0068662455369403,0.0454545454545454,0.0,0.0199999999999999,0.38422747521777667,0,0
0.0412055568636684,0.0192307692307692,0.0,0.1409781665146633,0.0274649821477615,0.0454545454545454,0.0,0.0199999999999999,0.3824325800687229,0,0
0.0117730162467624,0.0,0.0,0.0791147933675429,0.0034331227684701,0.0227272727272727,0.0,0.0,0.32490981621291687,0,0
0.1501059571462207,0.0961538461538461,0.09375,0.1241662729240604,0.0926943147486952,0.0681818181818181,0.125,0.09,0.5000000000000001,1,1
0.0853543677890275,0.0961538461538461,0.0,0.1035634621512628,0.0480637187585827,0.0454545454545454,0.25,0.09,0.5010469297789545,0,1
0.1030138921591711,0.0384615384615384,0.0,0.2560242618699653,0.072095578137874,0.1363636363636363,0.0,0.04,0.5007789354200116,1,1
0.0117730162467624,0.0384615384615384,0.0,0.082466183919918,0.0137324910738807,0.0,0.0,0.04,0.31692452143438105,0,0
